Time (s),Altitude (m),Radius (m),Radial Velocity (m/s),True Anomoly (rad),Angular Velocity (rad/s)
32542000.0,291153.6559119839,6669253.655911984,-0.03974880560252118,36994.2910107292,0.0011591850866655546
32544000.0,291072.9743348602,6669172.97433486,-0.040933549584994885,36996.609401791764,0.0011592061212985537
32546000.0,290991.3761616368,6669091.376161637,-0.04033829130462181,36998.927835449445,0.0011592274543029979
32548000.0,290911.1020233482,6669011.102023348,-0.04035925941237054,37001.246311213064,0.001159248306845845
32550000.0,290829.17393416166,6668929.173934162,-0.041300407663347784,37003.564829119925,0.0011592697141233775
32552000.0,290747.35136301536,6668847.351363015,-0.04043798119143955,37005.88339001447,0.001159291064066332
32554000.0,290666.17875149753,6668766.1787514975,-0.041080292021631735,37008.201993170325,0.001159312167565019
32556000.0,290583.2208240889,6668683.220824089,-0.04148240147641695,37010.52063916452,0.0011593338710280709
32558000.0,290501.2042562701,6668601.20425627,-0.04070718950173164,37012.83932836644,0.0011593552262053229
32560000.0,290418.8817753233,6668518.881775323,-0.04177463663385822,37015.158060129215,0.0011593766669212087
32562000.0,290335.16316671856,6668435.163166719,-0.04153888975475741,37017.47683540365,0.0011593985718327563
32564000.0,290252.80566532444,6668352.805665324,-0.04120517082955283,37019.79565400425,0.0011594199821700563
32566000.0,290169.18540793564,6668269.185407936,-0.04230656297830123,37022.11451566129,0.0011594418103482687
32568000.0,290085.07037071325,6668185.070370713,-0.04158523678519409,37024.43342135834,0.0011594637888679411
32570000.0,290001.9959899839,6668101.995989984,-0.041907397979822895,37026.7523704948,0.001159485383904094
32572000.0,289917.1516047586,6668017.151604759,-0.042612975637889926,37029.071363366886,0.001159507572712276
32574000.0,289832.8078464046,6667932.807846405,-0.04178231229205611,37031.39040061759,0.0011595295652972782
32576000.0,289748.65560762864,6667848.655607629,-0.04263507132932799,37033.70948154876,0.0011595514693285495
32578000.0,289662.91084373556,6667762.910843736,-0.04273672134218885,37036.028606915665,0.0011595739049259394
32580000.0,289578.21536582615,6667678.215365826,-0.04220645342084112,37038.34777684866,0.001159595953104081
32582000.0,289492.791306328,6667592.791306328,-0.043236114773584716,37040.66699090697,0.0011596182323119035
32584000.0,289406.4426949434,6667506.442694943,-0.04283741121854089,37042.98625000706,0.0011596408102809846
32586000.0,289321.1233819844,6667421.123381984,-0.042838791181212275,37045.30555383148,0.0011596630074025998
32588000.0,289234.44352914207,6667334.443529142,-0.04362820448743549,37047.624902398835,0.0011596856548893076
32590000.0,289147.6898478167,6667247.689847817,-0.04304211914611796,37049.94429643823,0.00115970830477073
32592000.0,289061.41882790625,6667161.418827906,-0.04350846061081305,37052.263735453744,0.0011597307635454657
32594000.0,288973.6760686394,6667073.676068639,-0.043932277942443074,37054.58321987864,0.0011597537108647266
32596000.0,288886.50487911515,6666986.504879115,-0.04337051635686716,37056.90275010244,0.0011597764356167124
32598000.0,288799.1021706732,6666899.102170673,-0.04416958333128889,37059.22232565827,0.0011597992172812843
32600000.0,288710.49585268553,6666810.4958526855,-0.04410798145447431,37061.54194728239,0.0011598223936888235
32602000.0,288622.8094876008,6666722.809487601,-0.04387549559790255,37063.86161493782,0.0011598452258927553
32604000.0,288534.1005754722,6666634.100575472,-0.04476586163121724,37066.18132844572,0.0011598683897421427
32606000.0,288444.8894554991,6666544.889455499,-0.04425232636305076,37068.50108861132,0.0011598917037666876
32608000.0,288356.4107256662,6666456.410725666,-0.04455175464056143,37070.8208950203,0.001159914738420804
32610000.0,288266.4615315553,6666366.461531555,-0.04515813685133598,37073.140747947,0.0011599382600399756
32612000.0,288176.7894888632,6666276.789488863,-0.0445361758628014,37075.46064795302,0.0011599616601431874
32614000.0,288087.22208208125,6666187.222082081,-0.04524375283024893,37077.780594526586,0.0011599849988576318
32616000.0,287996.22598305345,6666096.225983053,-0.04542607209827709,37080.10058831758,0.001160008809439945
32618000.0,287906.0604195744,6666006.060419574,-0.04496703978167112,37082.42062949795,0.0011600323054389641
32620000.0,287815.1944403043,6665915.194440304,-0.04591873600905689,37084.740717708744,0.0011600560197148882
32622000.0,287723.46253881045,6665823.46253881,-0.04556569586759877,37087.060853788375,0.0011600800094263557
